INDIVIDUALS	STRATA
C83i7	cluster1
C83i8	cluster1
C83i9	cluster1
C84i10	cluster1
C84i1	cluster1
C84i2	cluster1
C84i4	cluster1
C85i10	cluster1
C85i1	cluster1
C85i2	cluster1
C85i4	cluster1
C85i5	cluster1
C85i6	cluster1
C85i9	cluster1
C86i1	cluster1
C86i2	cluster1
C86i4	cluster1
C86i6	cluster1
C86i7	cluster1
C87i10	cluster1
C87i1	cluster1
C87i3	cluster1
C87i5	cluster1
C87i8	cluster1
C88i10	cluster1
C88i1	cluster1
C88i3	cluster1
C88i4	cluster1
C88i5	cluster1
C88i6	cluster1
C88i7	cluster2
C89i1	cluster1
C89i2	cluster1
C89i4	cluster1
C89i5	cluster1
C89i8	cluster1
C89i9	cluster1
C8i9	cluster1
C90i1	cluster1
C90i5	cluster2
C90i6	cluster2
C90i7	cluster1
C91i10	cluster1
C91i1	cluster1
C91i3	cluster1
C91i4	cluster1
C91i5	cluster1
C91i6	cluster1
C91i9	cluster1
C92i10	cluster1
C92i1	cluster1
C92i5	cluster1
C92i6	cluster1
C92i8	cluster1
C93i10	cluster1
C93i2	cluster1
C93i3	cluster1
C93i4	cluster1
C93i6	cluster1
C93i7	cluster1
C9i3	cluster1
C94i10	cluster1
C94i2	cluster1
C94i3	cluster1
C94i5	cluster1
C94i6	cluster1
C94i7	cluster1
C94i8	cluster1
C94i9	cluster1
C9i4	cluster1
C95i10	cluster1
C95i1	cluster1
C95i2	cluster1
C95i3	cluster1
C95i4	cluster1
C95i5	cluster1
C95i6	cluster1
C95i7	cluster1
C95i8	cluster1
C95i9	cluster1
C96i10	cluster1
C96i1	cluster1
C96i2	cluster1
C96i3	cluster1
C96i5	cluster1
C96i6	cluster1
C96i7	cluster1
C96i8	cluster1
C96i9	cluster1
C9i8	cluster1
C99i10	cluster1
C99i2	cluster1
C99i3	cluster1
C99i8	cluster1
C9i9	cluster1
